date,commodity,market,modal_price,pct_change,zscore,streak_length,anomaly_flag,anomaly_type,anomaly_score,observation_count,anomaly_status,explanation
2024-08-16,Apple,Bharuch,5000.0,,,1,False,none,0.0,1,insufficient_data,Insufficient historical data to reliably check for anomalies.
2024-08-17,Apple,Bharuch,7000.0,40.0,,1,False,none,0.0,2,insufficient_data,Insufficient historical data to reliably check for anomalies.
2024-08-22,Apple,Bharuch,7500.0,7.14,,1,False,none,0.0,3,insufficient_data,Insufficient historical data to reliably check for anomalies.
2024-08-26,Apple,Bharuch,7000.0,-6.67,0.38,1,False,none,0.0,4,insufficient_data,Insufficient historical data to reliably check for anomalies.
2024-08-27,Apple,Bharuch,7000.0,0.0,0.34,2,False,none,0.0,5,ok,No unusual price behaviour detected.
2024-08-31,Apple,Bharuch,8500.0,21.43,1.85,1,False,none,0.0,6,ok,No unusual price behaviour detected.
2024-09-01,Apple,Bharuch,7000.0,-17.65,0.0,1,False,none,0.0,7,ok,No unusual price behaviour detected.
2024-09-02,Apple,Bharuch,7000.0,0.0,0.0,2,False,none,0.0,8,ok,No unusual price behaviour detected.
2024-09-05,Apple,Bharuch,7500.0,7.14,0.38,1,False,none,0.0,9,ok,No unusual price behaviour detected.
2024-09-10,Apple,Bharuch,7500.0,0.0,0.26,2,False,none,0.0,10,ok,No unusual price behaviour detected.
2024-09-11,Apple,Bharuch,6000.0,-20.0,-2.44,1,False,none,0.0,11,ok,No unusual price behaviour detected.
2024-09-12,Apple,Bharuch,7000.0,16.67,-0.28,1,False,none,0.0,12,ok,No unusual price behaviour detected.
2024-09-13,Apple,Bharuch,7000.0,0.0,-0.28,2,False,none,0.0,13,ok,No unusual price behaviour detected.
2024-10-04,Apple,Bharuch,5000.0,-28.57,-4.0,1,True,statistical_outlier,40.0,14,ok,Anomaly detected: price is far outside its recent normal range.
2024-10-05,Apple,Bharuch,5000.0,0.0,-1.89,2,False,none,0.0,15,ok,No unusual price behaviour detected.
2024-10-07,Apple,Bharuch,4000.0,-20.0,-2.21,1,False,none,0.0,16,ok,No unusual price behaviour detected.
2024-10-08,Apple,Bharuch,6000.0,50.0,0.05,1,False,none,0.0,17,ok,No unusual price behaviour detected.
2024-10-10,Apple,Bharuch,6000.0,0.0,0.26,2,False,none,0.0,18,ok,No unusual price behaviour detected.
2024-10-11,Apple,Bharuch,6000.0,0.0,0.26,3,False,none,0.0,19,ok,No unusual price behaviour detected.
2024-10-12,Apple,Bharuch,6000.0,0.0,0.44,4,False,none,0.0,20,ok,No unusual price behaviour detected.
2024-10-13,Apple,Bharuch,6000.0,0.0,0.73,5,False,none,0.0,21,ok,No unusual price behaviour detected.
2024-10-14,Apple,Bharuch,6000.0,0.0,0.54,6,False,none,0.0,22,ok,No unusual price behaviour detected.
2024-10-18,Apple,Bharuch,6000.0,0.0,0.38,7,False,none,0.0,23,ok,No unusual price behaviour detected.
2024-10-19,Apple,Bharuch,6000.0,0.0,,8,True,stale_price,30.0,24,ok,Anomaly detected: price has not changed for 8 consecutive reports.
2024-10-20,Apple,Bharuch,6000.0,0.0,,9,True,stale_price,30.0,25,ok,Anomaly detected: price has not changed for 9 consecutive reports.
2024-10-21,Apple,Bharuch,5000.0,-16.67,-inf,1,True,statistical_outlier,40.0,26,ok,Anomaly detected: price is far outside its recent normal range.
2024-10-22,Apple,Bharuch,6000.0,20.0,0.38,1,False,none,0.0,27,ok,No unusual price behaviour detected.
2024-10-23,Apple,Bharuch,6000.0,0.0,0.38,2,False,none,0.0,28,ok,No unusual price behaviour detected.
2024-10-24,Apple,Bharuch,5000.0,-16.67,-2.27,1,False,none,0.0,29,ok,No unusual price behaviour detected.
2024-10-25,Apple,Bharuch,5000.0,0.0,-1.46,2,False,none,0.0,30,ok,No unusual price behaviour detected.
2024-10-26,Apple,Bharuch,5000.0,0.0,-1.07,3,False,none,0.0,31,ok,No unusual price behaviour detected.
2024-10-27,Apple,Bharuch,5000.0,0.0,-0.8,4,False,none,0.0,32,ok,No unusual price behaviour detected.
2024-10-28,Apple,Bharuch,5000.0,0.0,-0.59,5,False,none,0.0,33,ok,No unusual price behaviour detected.
2024-10-29,Apple,Bharuch,5500.0,10.0,0.44,1,False,none,0.0,34,ok,No unusual price behaviour detected.
2024-10-30,Apple,Bharuch,5000.0,-9.09,-0.54,1,False,none,0.0,35,ok,No unusual price behaviour detected.
2024-10-31,Apple,Bharuch,5500.0,10.0,2.27,1,False,none,0.0,36,ok,No unusual price behaviour detected.
2024-11-01,Apple,Bharuch,5000.0,-9.09,-0.59,1,False,none,0.0,37,ok,No unusual price behaviour detected.
2024-11-02,Apple,Bharuch,5000.0,0.0,-0.59,2,False,none,0.0,38,ok,No unusual price behaviour detected.
2024-11-03,Apple,Bharuch,5000.0,0.0,-0.59,3,False,none,0.0,39,ok,No unusual price behaviour detected.
2024-11-04,Apple,Bharuch,5000.0,0.0,-0.59,4,False,none,0.0,40,ok,No unusual price behaviour detected.
2024-11-05,Apple,Bharuch,5000.0,0.0,-0.59,5,False,none,0.0,41,ok,No unusual price behaviour detected.
2024-11-06,Apple,Bharuch,5000.0,0.0,-0.38,6,False,none,0.0,42,ok,No unusual price behaviour detected.
2024-11-07,Apple,Bharuch,5000.0,0.0,-0.38,7,False,none,0.0,43,ok,No unusual price behaviour detected.
