date,state,district,market,commodity,modal_price,min_price,max_price
2024-08-16,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,9000.0
2024-08-17,Gujarat,Bharuch,Bharuch,Apple,7000.0,4000.0,9000.0
2024-08-22,Gujarat,Bharuch,Bharuch,Apple,7500.0,4000.0,9000.0
2024-08-26,Gujarat,Bharuch,Bharuch,Apple,7000.0,4000.0,9000.0
2024-08-27,Gujarat,Bharuch,Bharuch,Apple,7000.0,5000.0,9000.0
2024-08-31,Gujarat,Bharuch,Bharuch,Apple,8500.0,7000.0,9500.0
2024-09-01,Gujarat,Bharuch,Bharuch,Apple,7000.0,5000.0,10000.0
2024-09-02,Gujarat,Bharuch,Bharuch,Apple,7000.0,5000.0,9000.0
2024-09-05,Gujarat,Bharuch,Bharuch,Apple,7500.0,6000.0,9500.0
2024-09-10,Gujarat,Bharuch,Bharuch,Apple,7500.0,6000.0,8500.0
2024-09-11,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7500.0
2024-09-12,Gujarat,Bharuch,Bharuch,Apple,7000.0,6000.0,8000.0
2024-09-13,Gujarat,Bharuch,Bharuch,Apple,7000.0,5000.0,8000.0
2024-10-04,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6500.0
2024-10-05,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6000.0
2024-10-07,Gujarat,Bharuch,Bharuch,Apple,4000.0,3000.0,6000.0
2024-10-08,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-10,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-11,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-12,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-13,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-14,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-18,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-19,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
2024-10-20,Gujarat,Bharuch,Bharuch,Apple,6000.0,4000.0,6500.0
2024-10-21,Gujarat,Bharuch,Bharuch,Apple,5000.0,4000.0,6000.0
2024-10-22,Gujarat,Bharuch,Bharuch,Apple,6000.0,4000.0,7000.0
2024-10-23,Gujarat,Bharuch,Bharuch,Apple,6000.0,5000.0,7000.0
