date,commodity,market,modal_price,risk_score,risk_level,volatility_score,trend_score,data_sufficiency,observation_count,risk_status,explanation
2024-08-16,Apple,Bharuch,5000.0,,,,,5.0,1,insufficient_data,Insufficient historical data to reliably estimate waiting risk.
2024-08-17,Apple,Bharuch,7000.0,,,,,10.0,2,insufficient_data,Insufficient historical data to reliably estimate waiting risk.
2024-08-22,Apple,Bharuch,7500.0,,,100.0,,15.0,3,insufficient_data,Insufficient historical data to reliably estimate waiting risk.
2024-08-26,Apple,Bharuch,7000.0,,,100.0,,20.0,4,insufficient_data,Insufficient historical data to reliably estimate waiting risk.
2024-08-27,Apple,Bharuch,7000.0,,,100.0,,25.0,5,insufficient_data,Insufficient historical data to reliably estimate waiting risk.
2024-08-31,Apple,Bharuch,8500.0,,,100.0,,30.0,6,insufficient_data,Insufficient historical data to reliably estimate waiting risk.
2024-09-01,Apple,Bharuch,7000.0,,,100.0,,35.0,7,insufficient_data,Insufficient historical data to reliably estimate waiting risk.
2024-09-02,Apple,Bharuch,7000.0,57.0,Medium,100.0,0.0,40.0,8,ok,Medium Risk because high price volatility and prices are trending upward.
2024-09-05,Apple,Bharuch,7500.0,65.17,Medium,100.0,26.19,45.0,9,ok,Medium Risk because high price volatility and prices are trending upward.
2024-09-10,Apple,Bharuch,7500.0,72.5,High,100.0,50.0,50.0,10,ok,High Risk because high price volatility and prices are relatively stable.
2024-09-11,Apple,Bharuch,6000.0,88.17,High,100.0,97.62,55.0,11,ok,High Risk because high price volatility and prices are trending downward.
2024-09-12,Apple,Bharuch,7000.0,70.5,High,100.0,50.0,60.0,12,ok,High Risk because high price volatility and prices are relatively stable.
2024-09-13,Apple,Bharuch,7000.0,87.0,High,100.0,100.0,65.0,13,ok,High Risk because high price volatility and prices are trending downward.
2024-10-04,Apple,Bharuch,5000.0,86.0,High,100.0,100.0,70.0,14,ok,High Risk because high price volatility and prices are trending downward.
2024-10-05,Apple,Bharuch,5000.0,85.0,High,100.0,100.0,75.0,15,ok,High Risk because high price volatility and prices are trending downward.
2024-10-07,Apple,Bharuch,4000.0,84.0,High,100.0,100.0,80.0,16,ok,High Risk because high price volatility and prices are trending downward.
2024-10-08,Apple,Bharuch,6000.0,83.0,High,100.0,100.0,85.0,17,ok,High Risk because high price volatility and prices are trending downward.
2024-10-10,Apple,Bharuch,6000.0,64.5,Medium,100.0,50.0,90.0,18,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-10-11,Apple,Bharuch,6000.0,80.17,High,100.0,97.62,95.0,19,ok,High Risk because high price volatility and prices are trending downward.
2024-10-12,Apple,Bharuch,6000.0,79.17,High,100.0,97.62,100.0,20,ok,High Risk because high price volatility and prices are trending downward.
2024-10-13,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,21,ok,Medium Risk because high price volatility and prices are trending upward.
2024-10-14,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,22,ok,Medium Risk because high price volatility and prices are trending upward.
2024-10-18,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,23,ok,Medium Risk because high price volatility and prices are trending upward.
2024-10-19,Apple,Bharuch,6000.0,17.5,Low,0.0,50.0,100.0,24,ok,Low Risk because low price volatility and prices are relatively stable.
2024-10-20,Apple,Bharuch,6000.0,17.5,Low,0.0,50.0,100.0,25,ok,Low Risk because low price volatility and prices are relatively stable.
2024-10-21,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,26,ok,High Risk because high price volatility and prices are trending downward.
2024-10-22,Apple,Bharuch,6000.0,62.5,Medium,100.0,50.0,100.0,27,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-10-23,Apple,Bharuch,6000.0,62.5,Medium,100.0,50.0,100.0,28,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-10-24,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,29,ok,High Risk because high price volatility and prices are trending downward.
2024-10-25,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,30,ok,High Risk because high price volatility and prices are trending downward.
2024-10-26,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,31,ok,High Risk because high price volatility and prices are trending downward.
2024-10-27,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,32,ok,High Risk because high price volatility and prices are trending downward.
2024-10-28,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,33,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-10-29,Apple,Bharuch,5500.0,72.22,High,100.0,77.78,100.0,34,ok,High Risk because high price volatility and prices are trending downward.
2024-10-30,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,35,ok,High Risk because high price volatility and prices are trending downward.
2024-10-31,Apple,Bharuch,5500.0,50.83,Medium,100.0,16.67,100.0,36,ok,Medium Risk because high price volatility and prices are trending upward.
2024-11-01,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,37,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-02,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,38,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-03,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,39,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-04,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,40,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-05,Apple,Bharuch,5000.0,73.11,High,100.0,80.3,100.0,41,ok,High Risk because high price volatility and prices are trending downward.
2024-11-06,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,42,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-07,Apple,Bharuch,5000.0,59.03,Medium,68.72,80.3,100.0,43,ok,Medium Risk because high price volatility and prices are trending downward.
2024-11-08,Apple,Bharuch,5000.0,17.5,Low,0.0,50.0,100.0,44,ok,Low Risk because low price volatility and prices are relatively stable.
2024-11-09,Apple,Bharuch,5000.0,17.5,Low,0.0,50.0,100.0,45,ok,Low Risk because low price volatility and prices are relatively stable.
2024-11-10,Apple,Bharuch,5900.0,45.0,Medium,100.0,0.0,100.0,46,ok,Medium Risk because high price volatility and prices are trending upward.
2024-11-11,Apple,Bharuch,4000.0,80.0,High,100.0,100.0,100.0,47,ok,High Risk because high price volatility and prices are trending downward.
2024-11-14,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,48,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-15,Apple,Bharuch,5500.0,50.83,Medium,100.0,16.67,100.0,49,ok,Medium Risk because high price volatility and prices are trending upward.
2024-11-16,Apple,Bharuch,5500.0,50.83,Medium,100.0,16.67,100.0,50,ok,Medium Risk because high price volatility and prices are trending upward.
2024-11-18,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,51,ok,Medium Risk because high price volatility and prices are trending upward.
2024-11-20,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,52,ok,Medium Risk because high price volatility and prices are trending upward.
2024-11-21,Apple,Bharuch,6000.0,60.52,Medium,100.0,44.35,100.0,53,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-22,Apple,Bharuch,5000.0,45.0,Medium,100.0,0.0,100.0,54,ok,Medium Risk because high price volatility and prices are trending upward.
2024-11-23,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,55,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-11-24,Apple,Bharuch,5000.0,73.11,High,100.0,80.3,100.0,56,ok,High Risk because high price volatility and prices are trending downward.
2024-11-25,Apple,Bharuch,5000.0,73.11,High,100.0,80.3,100.0,57,ok,High Risk because high price volatility and prices are trending downward.
2024-11-28,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,58,ok,High Risk because high price volatility and prices are trending downward.
2024-11-29,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,59,ok,High Risk because high price volatility and prices are trending downward.
2024-12-11,Apple,Bharuch,7000.0,45.0,Medium,100.0,0.0,100.0,60,ok,Medium Risk because high price volatility and prices are trending upward.
2024-12-19,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,61,ok,Medium Risk because high price volatility and prices are relatively stable.
2024-12-24,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,62,ok,Medium Risk because high price volatility and prices are relatively stable.
2025-01-23,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,63,ok,Medium Risk because high price volatility and prices are relatively stable.
2025-02-07,Apple,Bharuch,7000.0,45.0,Medium,100.0,0.0,100.0,64,ok,Medium Risk because high price volatility and prices are trending upward.
2025-02-12,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,65,ok,Medium Risk because high price volatility and prices are trending upward.
2025-02-24,Apple,Bharuch,5000.0,62.5,Medium,100.0,50.0,100.0,66,ok,Medium Risk because high price volatility and prices are relatively stable.
2025-03-01,Apple,Bharuch,6000.0,79.17,High,100.0,97.62,100.0,67,ok,High Risk because high price volatility and prices are trending downward.
2025-03-02,Apple,Bharuch,6500.0,45.0,Medium,100.0,0.0,100.0,68,ok,Medium Risk because high price volatility and prices are trending upward.
2025-03-03,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,69,ok,Medium Risk because high price volatility and prices are trending upward.
2025-03-06,Apple,Bharuch,6000.0,45.0,Medium,100.0,0.0,100.0,70,ok,Medium Risk because high price volatility and prices are trending upward.
2025-03-07,Apple,Bharuch,5000.0,80.0,High,100.0,100.0,100.0,71,ok,High Risk because high price volatility and prices are trending downward.
2025-03-13,Apple,Bharuch,6000.0,62.5,Medium,100.0,50.0,100.0,72,ok,Medium Risk because high price volatility and prices are relatively stable.
2025-03-14,Apple,Bharuch,6500.0,45.0,Medium,100.0,0.0,100.0,73,ok,Medium Risk because high price volatility and prices are trending upward.
2025-03-24,Apple,Bharuch,6000.0,62.5,Medium,100.0,50.0,100.0,74,ok,Medium Risk because high price volatility and prices are relatively stable.
2025-04-02,Apple,Bharuch,6000.0,71.47,High,100.0,75.64,100.0,75,ok,High Risk because high price volatility and prices are trending downward.
2025-04-03,Apple,Bharuch,6500.0,52.78,Medium,100.0,22.22,100.0,76,ok,Medium Risk because high price volatility and prices are trending upward.
2025-04-04,Apple,Bharuch,6500.0,52.78,Medium,100.0,22.22,100.0,77,ok,Medium Risk because high price volatility and prices are trending upward.
2025-04-05,Apple,Bharuch,7000.0,45.0,Medium,100.0,0.0,100.0,78,ok,Medium Risk because high price volatility and prices are trending upward.
2025-04-06,Apple,Bharuch,6500.0,52.78,Medium,100.0,22.22,100.0,79,ok,Medium Risk because high price volatility and prices are trending upward.
2025-04-07,Apple,Bharuch,7000.0,53.53,Medium,100.0,24.36,100.0,80,ok,Medium Risk because high price volatility and prices are trending upward.
2025-04-09,Apple,Bharuch,8000.0,45.0,Medium,100.0,0.0,100.0,81,ok,Medium Risk because high price volatility and prices are trending upward.
2025-04-10,Apple,Bharuch,8000.0,45.0,Medium,100.0,0.0,100.0,82,ok,Medium Risk because high price volatility and prices are trending upward.
2025-04-23,Apple,Bharuch,10000.0,45.0,Medium,100.0,0.0,100.0,83,ok,Medium Risk because high price volatility and prices are trending upward.
2025-05-01,Apple,Bharuch,10000.0,45.0,Medium,100.0,0.0,100.0,84,ok,Medium Risk because high price volatility and prices are trending upward.
2025-05-02,Apple,Bharuch,10000.0,45.0,Medium,100.0,0.0,100.0,85,ok,Medium Risk because high price volatility and prices are trending upward.
2025-05-05,Apple,Bharuch,10000.0,45.0,Medium,100.0,0.0,100.0,86,ok,Medium Risk because high price volatility and prices are trending upward.
2025-05-06,Apple,Bharuch,11000.0,45.0,Medium,100.0,0.0,100.0,87,ok,Medium Risk because high price volatility and prices are trending upward.
2025-05-16,Apple,Bharuch,10000.0,45.0,Medium,100.0,0.0,100.0,88,ok,Medium Risk because high price volatility and prices are trending upward.
2025-05-17,Apple,Bharuch,9000.0,47.92,Medium,100.0,8.33,100.0,89,ok,Medium Risk because high price volatility and prices are trending upward.
2025-05-19,Apple,Bharuch,9000.0,74.17,High,100.0,83.33,100.0,90,ok,High Risk because high price volatility and prices are trending downward.
